Date,Open,High,Low,Close,Change(Pips),Change(%)
2024-05-02 20:00:00,2299.62,2309.45,2299.31,2303.48,38600.00000000127,0.16785381932666876
2024-05-03 00:00:00,2303.74,2305.7,2300.32,2304.01,5300.000000002001,0.023008665150126006
2024-05-03 04:00:00,2303.98,2308.02,2299.87,2307.37,33599.999999996726,0.1458327003788895
2024-05-03 08:00:00,2307.39,2308.76,2297.73,2301.39,-59800.00000000018,-0.25916953067778303
2024-05-03 12:00:00,2301.31,2320.59,2294.63,2304.77,33800.00000000109,0.1468677625261261
2024-05-03 16:00:00,2304.74,2308.97,2277.22,2299.26,-55099.999999997635,-0.23906940822727707
2024-05-03 20:00:00,2299.26,2303.44,2296.06,2301.55,22899.999999999636,0.09959726172767969
2024-05-06 00:00:00,2303.57,2306.09,2291.84,2296.01,-55399.999999999636,-0.24070734939497518
2024-05-06 04:00:00,2296.0,2315.35,2295.81,2309.23,132199.999999998,0.5757814643664316
2024-05-06 08:00:00,2309.13,2324.24,2308.71,2318.22,89899.99999999782,0.3893072582635604
2024-05-06 12:00:00,2318.23,2330.31,2314.6,2323.29,50700.00000000164,0.21870228019773563
2024-05-06 16:00:00,2323.18,2332.16,2317.66,2325.64,23499.99999999909,0.10114966276271176
2024-05-06 20:00:00,2325.66,2328.82,2321.03,2323.72,-19200.000000000728,-0.0825579195404269
2024-05-07 00:00:00,2323.33,2329.5,2322.08,2329.26,55400.000000004184,0.2384108240235605
2024-05-07 04:00:00,2329.12,2329.87,2319.64,2322.67,-65900.00000000146,-0.28292247323185027
2024-05-07 08:00:00,2322.65,2323.29,2311.63,2315.73,-69400.00000000055,-0.29879406028406885
